"theta","posterior_density","posterior_mass"
4.8048048048048,9.07728301866634e-16,9.08636938805441e-17
4.9049049049049,9.25969070754571e-16,9.26895966721294e-17
5.005005005005,9.44613876951364e-16,9.45559436387753e-17
5.1051051051051,9.63672503829828e-16,9.646371409708e-17
5.2052052052052,9.83154991932544e-16,9.84139131063609e-17
5.3053053053053,1.00307164626715e-15,1.00407572198915e-16
5.40540540540541,1.02343304382377e-15,1.0244575013251e-16
5.50550550550551,1.04425004132185e-15,1.04529533665851e-16
5.60560560560561,1.06553378319396e-15,1.06660038357754e-16
5.70570570570571,1.08729570981423e-15,1.08838409390814e-16
5.80580580580581,1.10954756597943e-15,1.11065822420364e-16
5.90590590590591,1.13230140965102e-15,1.13343484449551e-16
6.00600600600601,1.1555696209668e-15,1.15672634731412e-16
6.10610610610611,1.1793649115309e-15,1.18054545698789e-16
6.20620620620621,1.20370033399145e-15,1.20490523923068e-16
6.30630630630631,1.22858929191538e-15,1.22981911102641e-16
6.40640640640641,1.25404554997023e-15,1.25530085082105e-16
6.50650650650651,1.28008324442316e-15,1.28136460903219e-16
6.60660660660661,1.30671689396764e-15,1.30802491888653e-16
6.70670670670671,1.33396141088901e-15,1.33529670759661e-16
6.80680680680681,1.36183211257988e-15,1.36319530788777e-16
6.90690690690691,1.39034473341744e-15,1.39173646988733e-16
7.00700700700701,1.41951543701461e-15,1.420936373388e-16
7.10710710710711,1.44936082885759e-15,1.45081164049809e-16
7.20720720720721,1.47989796934315e-15,1.48137934869184e-16
7.30730730730731,1.51114438722873e-15,1.512657044273e-16
7.40740740740741,1.54311809350965e-15,1.54466275626592e-16
7.50750750750751,1.57583759573783e-15,1.57741501074859e-16
7.60760760760761,1.60932191279698e-15,1.61093284564262e-16
7.70770770770771,1.64359059014992e-15,1.6452358259759e-16
7.80780780780781,1.67866371557406e-15,1.6803440596337e-16
7.90790790790791,1.71456193540182e-15,1.71627821361544e-16
8.00800800800801,1.75130647128323e-15,1.75305953081404e-16
8.10810810810811,1.78891913748885e-15,1.79070984733619e-16
8.20820820820821,1.82742235877128e-15,1.82925161038167e-16
8.30830830830831,1.86683918880496e-15,1.86870789670166e-16
8.40840840840841,1.90719332922387e-15,1.90910243165553e-16
8.50850850850851,1.94850914927825e-15,1.95045960888714e-16
8.60860860860861,1.99081170613147e-15,1.99280451064212e-16
8.70870870870871,2.03412676581962e-15,2.03616292874837e-16
8.80880880880881,2.07848082489689e-15,2.08056138628318e-16
8.90890890890891,2.12390113279059e-15,2.12602715995054e-16
9.00900900900901,2.17041571489087e-15,2.17258830319407e-16
9.10910910910911,2.21805339640085e-15,2.22027367007092e-16
9.20920920920921,2.26684382697396e-15,2.26911293991388e-16
9.30930930930931,2.31681750616622e-15,2.31913664280903e-16
9.40940940940941,2.36800580973241e-15,2.37037618591833e-16
9.50950950950951,2.42044101679584e-15,2.42286388067652e-16
9.60960960960961,2.47415633792297e-15,2.47663297089387e-16
9.70970970970971,2.52918594413498e-15,2.53171766179679e-16
9.80980980980981,2.58556499688954e-15,2.58815315003958e-16
9.90990990990991,2.64332967906798e-15,2.64597565472271e-16
10.01001001001,2.7025172270034e-15,2.70522244945286e-16
10.1101101101101,2.76316596358716e-15,2.76593189548265e-16
10.2102102102102,2.82531533249307e-15,2.82814347596904e-16
10.3103103103103,2.88900593355884e-15,2.89189783139023e-16
10.4104104104104,2.95427955936728e-15,2.95723679616345e-16
10.5105105105105,3.02117923307058e-15,3.02420343650709e-16
