"alpha0","beta","posterior_mass"
12.2489959839357,-1.98955823293173,8.0983705926864e-39
12.4096385542169,-1.98955823293173,1.88445374662276e-37
12.570281124498,-1.98955823293173,3.75341756252253e-36
12.7309236947791,-1.98955823293173,6.4892864474264e-35
12.8915662650602,-1.98955823293173,9.85503679741076e-34
13.0522088353414,-1.98955823293173,1.32814433714255e-32
13.2128514056225,-1.98955823293173,1.60251979882944e-31
13.3734939759036,-1.98955823293173,1.74459833041193e-30
13.5341365461847,-1.98955823293173,1.72537902019126e-29
13.6947791164659,-1.98955823293173,1.5595498006941e-28
13.855421686747,-1.98955823293173,1.29534654894722e-27
14.0160642570281,-1.98955823293173,9.93460624747382e-27
14.1767068273092,-1.98955823293173,7.06631744976552e-26
14.3373493975904,-1.98955823293173,4.67988576480321e-25
14.4979919678715,-1.98955823293173,2.89630373484116e-24
14.6586345381526,-1.98955823293173,1.68055058618135e-23
14.8192771084337,-1.98955823293173,9.17002983424291e-23
14.9799196787149,-1.98955823293173,4.71856180289963e-22
15.140562248996,-1.98955823293173,2.29553122325019e-21
15.3012048192771,-1.98955823293173,1.05833539560038e-20
15.4618473895582,-1.98955823293173,4.6343370899393e-20
15.6224899598394,-1.98955823293173,1.93137677842624e-19
15.7831325301205,-1.98955823293173,7.67524497343209e-19
15.9437751004016,-1.98955823293173,2.91366573646568e-18
16.1044176706827,-1.98955823293173,1.05836750983629e-17
16.2650602409639,-1.98955823293173,3.68438264598444e-17
16.425702811245,-1.98955823293173,1.23102146776651e-16
16.5863453815261,-1.98955823293173,3.95314685881854e-16
16.7469879518072,-1.98955823293173,1.22170428414882e-15
16.9076305220884,-1.98955823293173,3.63808549543955e-15
17.0682730923695,-1.98955823293173,1.04513431007346e-14
17.2289156626506,-1.98955823293173,2.89965016803885e-14
17.3895582329317,-1.98955823293173,7.77768697851317e-14
17.5502008032129,-1.98955823293173,2.01892746248437e-13
17.710843373494,-1.98955823293173,5.07655441286207e-13
17.8714859437751,-1.98955823293173,1.2376226582718e-12
18.0321285140562,-1.98955823293173,2.92787560926426e-12
18.1927710843374,-1.98955823293173,6.72696500477057e-12
18.3534136546185,-1.98955823293173,1.50220347430977e-11
18.5140562248996,-1.98955823293173,3.26292556898873e-11
18.6746987951807,-1.98955823293173,6.89867986256876e-11
18.8353413654618,-1.98955823293173,1.42070386002863e-10
18.995983935743,-1.98955823293173,2.8517123571949e-10
19.1566265060241,-1.98955823293173,5.5827292617754e-10
19.3172690763052,-1.98955823293173,1.06656948841645e-09
19.4779116465863,-1.98955823293173,1.98969315071489e-09
19.6385542168675,-1.98955823293173,3.62643749389934e-09
19.7991967871486,-1.98955823293173,6.46107694028896e-09
19.9598393574297,-1.98955823293173,1.12586143549702e-08
20.1204819277108,-1.98955823293173,1.91971452496519e-08
20.281124497992,-1.98955823293173,3.20456074229031e-08
20.4417670682731,-1.98955823293173,5.23939937325175e-08
20.6024096385542,-1.98955823293173,8.39401077993844e-08
20.7630522088353,-1.98955823293173,1.31831653298662e-07
20.9236947791165,-1.98955823293173,2.03054560056952e-07
21.0843373493976,-1.98955823293173,3.06847984198797e-07
21.2449799196787,-1.98955823293173,4.55113868993174e-07
21.4056224899598,-1.98955823293173,6.62775396452024e-07
21.566265060241,-1.98955823293173,9.48025794143691e-07
21.7269076305221,-1.98955823293173,1.3323990226736e-06
21.8875502008032,-1.98955823293173,1.84058941434856e-06
22.0481927710843,-1.98955823293173,2.49995088941938e-06
22.2088353413655,-1.98955823293173,3.33961998160775e-06
22.3694779116466,-1.98955823293173,4.38923161211664e-06
22.5301204819277,-1.98955823293173,5.67723197910634e-06
22.6907630522088,-1.98955823293173,7.22883696335863e-06
22.85140562249,-1.98955823293173,9.06373318928443e-06
23.0120481927711,-1.98955823293173,1.11936668863627e-05
23.1726907630522,-1.98955823293173,1.36201065634234e-05
23.3333333333333,-1.98955823293173,1.63321926958579e-05
23.4939759036145,-1.98955823293173,1.93051954465288e-05
23.6546184738956,-1.98955823293173,2.24996860501965e-05
23.8152610441767,-1.98955823293173,2.58615876994463e-05
23.9759036144578,-1.98955823293173,2.93232095186794e-05
24.136546184739,-1.98955823293173,3.28052876000912e-05
24.2971887550201,-1.98955823293173,3.62199678893761e-05
24.4578313253012,-1.98955823293173,3.94745765174554e-05
24.6184738955823,-1.98955823293173,4.24759440951509e-05
24.7791164658635,-1.98955823293173,4.51349908255979e-05
24.9397590361446,-1.98955823293173,4.73712462593136e-05
25.1004016064257,-1.98955823293173,4.91169752469677e-05
25.2610441767068,-1.98955823293173,5.03206106231945e-05
25.421686746988,-1.98955823293173,5.09492501927098e-05
25.5823293172691,-1.98955823293173,5.09900542999869e-05
25.7429718875502,-1.98955823293173,5.04504719623385e-05
25.9036144578313,-1.98955823293173,4.9357318427436e-05
26.0642570281125,-1.98955823293173,4.77548154144543e-05
26.2248995983936,-1.98955823293173,4.5701778848271e-05
26.3855421686747,-1.98955823293173,4.32681914416269e-05
26.5461847389558,-1.98955823293173,4.05314256148393e-05
26.706827309237,-1.98955823293173,3.75723854549808e-05
26.8674698795181,-1.98955823293173,3.44718168547292e-05
27.0281124497992,-1.98955823293173,3.13069969018042e-05
27.1887550200803,-1.98955823293173,2.81489626663809e-05
27.3493975903614,-1.98955823293173,2.50603819883306e-05
27.5100401606426,-1.98955823293173,2.20941107467154e-05
27.6706827309237,-1.98955823293173,1.92924276356417e-05
27.8313253012048,-1.98955823293173,1.66868926576512e-05
27.9919678714859,-1.98955823293173,1.42987418932733e-05
28.1526104417671,-1.98955823293173,1.21397096419898e-05
28.3132530120482,-1.98955823293173,1.02131594571185e-05
28.4738955823293,-1.98955823293173,8.51540656249673e-06
28.6345381526104,-1.98955823293173,7.03712357630178e-06
28.7951807228916,-1.98955823293173,5.76473694629033e-06
28.9558232931727,-1.98955823293173,4.68174054165643e-06
29.1164658634538,-1.98955823293173,3.7698731759219e-06
29.2771084337349,-1.98955823293173,3.01012655993437e-06
29.4377510040161,-1.98955823293173,2.3835678886072e-06
29.5983935742972,-1.98955823293173,1.87197603503042e-06
29.7590361445783,-1.98955823293173,1.45830171423566e-06
29.9196787148594,-1.98955823293173,1.12696993450367e-06
30.0803212851406,-1.98955823293173,8.6404782577066e-07
30.2409638554217,-1.98955823293173,6.57302972472387e-07
30.4016064257028,-1.98955823293173,4.96177239630433e-07
30.5622489959839,-1.98955823293173,3.71699352465123e-07
30.7228915662651,-1.98955823293173,2.76356726487162e-07
30.8835341365462,-1.98955823293173,2.03943730809396e-07
31.0441767068273,-1.98955823293173,1.49400093067024e-07
31.2048192771084,-1.98955823293173,1.08649810698559e-07
31.3654618473896,-1.98955823293173,7.84479158959151e-08
31.5261044176707,-1.98955823293173,5.62398624308163e-08
